,URL,TEXT,WIDTH,HEIGHT,similarity,punsafe,pwatermark,AESTHETIC_SCORE,hash
29,http://www.pickthebrain.com/blog/wp-content/uploads/2015/10/Screen-Shot-2015-10-11-at-10.27.01-PM.png,How To Increase Your Mind Power With These 7 Techniques,854.0,532.0,0.2848755121231079,0.000105157706,0.22222996,6.5169187,6961344589839641179
57,https://alanreed.com/wp-content/uploads/2019/04/grassmarket-edinburgh-scotland-jpeg-600x842.jpg,"Grassmarket, Edinburgh Scotland.jpeg",600.0,842.0,0.30956220626831055,3.8078218e-07,0.0726694,6.6240673,732627770395013472
69,https://i.pinimg.com/736x/78/f2/cf/78f2cf1be166b6a60bd83e3e19296d90--dangerous-games-automotive-art.jpg,"Boys on bicycle hitching ride on Pontiac Woody, ca. 1940s",640.0,893.0,0.34058794379234314,7.5582525e-06,0.14471726,6.5159383,7679781413891521558
208,http://www.incrediblesnaps.com/wp-content/uploads/2015/05/Murad-Osmann-Follows-His-Girlfriend-Around-The-World-Goes-to-India-1.jpg,Murad Osmann Follows His Girlfriend Around The World Goes to India (1),640.0,640.0,0.3200375735759735,0.0023744702,0.13879363,6.539117,4955645924270559813
236,https://i.pinimg.com/736x/f3/3f/16/f33f1608a7369de2848ac3836cec2ddc--digital-portrait-cartoon-girls.jpg,Digital Art by Charlie Bowater,600.0,849.0,0.3023313283920288,0.022413254,0.28905514,6.530502,-1685848052828608571
664,https://photos.smugmug.com/Print-Store/Current-Work/i-9swNV8X/0/a0b87638/L/Frosty%20Morning%20at%20the%20Middle%20Fork%20TS-L.jpg,Frosty Morning at the Middle Fork,800.0,534.0,0.3306087553501129,4.126662e-06,0.1808699,6.528662,-8043500571530831669
703,https://m.22slides.com/empirewestlive/rochesternyphotographersilversunpickupsrochesternymusicphotographyrochesterny007-1760786.jpg?auto=format&w=800&s=272ee313a77aeecffb7df1ad9ff61920,Foals Silversun Pickups Spring Fling Rochester Ny 03262016 - Empire West Live | Music Photography Rochester NY | Rochester NY Music Photographer,800.0,533.0,0.30971500277519226,0.0005274117,0.5936321,6.5605955,4426002117620039691
722,https://3.bp.blogspot.com/-dkFot1pBBmc/Uo-eDxWWX9I/AAAAAAAA068/aaVd9O9vBLU/s1600/Johan+Messely+@fineartandyou26.jpg,Johan Messely | Belgian Painter | 1927,640.0,527.0,0.32849979400634766,4.6551104e-06,0.020330975,6.671079,6392779810686159634
724,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/449b0b4f-5937-4ab0-9d83-fee57dc8f8f6/d56vy3i-2b29d5d6-b348-4eff-bf7e-6d33122f52d8.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTpmaWxlLmRvd25sb2FkIl0sIm9iaiI6W1t7InBhdGgiOiIvZi80NDliMGI0Zi01OTM3LTRhYjAtOWQ4My1mZWU1N2RjOGY4ZjYvZDU2dnkzaS0yYjI5ZDVkNi1iMzQ4LTRlZmYtYmY3ZS02ZDMzMTIyZjUyZDguanBnIn1dXX0.Q4_qznSyMyB0MoxvK-yRm4WK7DpsEHqSlyqBrgmFjWs,Deathwatch chapter cover 2 by faroldjo,591.0,996.0,0.31329023838043213,0.003393203,0.07048592,6.6095552,7201900599029608463
800,https://magicartworld.com/wp-content/uploads/2014/08/ministry_of_changes_by_juliedillon-d6bus6y.jpg,ministry_of_changes_by_juliedillon-d6bus6y,600.0,878.0,0.2819634974002838,0.001373738,0.0875385,6.5911584,767511107458273221
